row_index_1,row_index_2,cos_jacket_jacket
17,18,0.9951455593109131
17,19,0.9974043369293213
17,20,0.884273111820221
17,27,0.9458041787147522
17,28,0.8470272421836853
17,29,0.8311493396759033
17,30,0.9400038719177246
18,19,0.9943068027496338
18,20,0.8871009349822998
18,27,0.9441685080528259
18,28,0.8457052707672119
18,29,0.8278411626815796
18,30,0.9391753673553467
19,20,0.8858870267868042
19,27,0.9460456967353821
19,28,0.8456586003303528
19,29,0.8298733234405518
19,30,0.938889741897583
20,27,0.8870300650596619
20,28,0.87863689661026
20,29,0.8712033033370972
20,30,0.8764777779579163
27,28,0.8293924331665039
27,29,0.8151954412460327
27,30,0.9267441630363464
28,29,0.9836512804031372
28,30,0.8593509197235107
29,30,0.8526806831359863
