category,word1,word2,similarity
semantic,doctor,nurse,0.24670979380607605
semantic,king,queen,0.2940400540828705
semantic,teacher,student,0.4342147707939148
semantic,anger,rage,0.3969385027885437
semantic,car,vehicle,0.5431441068649292
semantic,child,kid,0.30703404545783997
semantic,aunt,uncle,0.42297548055648804
semantic,happy,joyful,0.44685736298561096
semantic,quick,fast,0.3441850543022156
semantic,large,big,0.5731911659240723
spelling,man,pan,0.14643563330173492
spelling,man,ban,0.1387476623058319
spelling,pan,fan,0.10422462224960327
spelling,cat,cap,0.1841880828142166
spelling,cat,cam,0.17090773582458496
spelling,bag,bug,0.19211457669734955
spelling,bag,big,0.10821632295846939
spelling,dog,fog,0.07751838862895966
spelling,rock,sock,0.211163729429245
spelling,pin,pan,0.19309002161026
spelling,plan,plant,0.1426784247159958
rhyming,bear,care,0.011235078796744347
rhyming,hair,stare,0.010879837907850742
rhyming,write,kite,0.05077246204018593
rhyming,night,fight,0.03288382664322853
rhyming,blue,shoe,-0.024732094258069992
rhyming,though,throw,0.06367935985326767
rhyming,loop,soup,-0.011068068444728851
rhyming,read,seed,0.0913248285651207
rhyming,boat,coat,0.0929279774427414
control,man,gem,0.03211694583296776
control,cat,vehicle,0.08646397292613983
control,sun,computer,0.05466689541935921
control,dog,storm,0.06001202017068863
control,bag,charger,0.10624400526285172
control,moon,chair,0.03807847574353218
control,river,camera,0.04277960956096649
control,book,pillow,0.13653749227523804
control,grass,justice,0.032376013696193695
